"Method","Mean","Sd"
"Babel_Dance",14804.1333333333,0.646554973172259
"KRR_new",16767.8466666667,446.648013690124
"ScLinear",9583,4.35889894354067
"Vanilla_NN",10884.0966666667,2.8922194476437
