"gene","cor"
"CD11b",-0.238687205722055
"CD11c",0.0391666899746773
"CD14",-0.127008374607266
"CD16",0.175356991548044
"CD163",0.0422631930419404
"CD185",0.708178799844772
"CD19",0.678979791407283
"CD20",0.639061706529728
"CD21",0.123911170491205
"CD27",0.670852120269322
"CD274",-0.042230183336312
"CD279",0.340899572313892
"CD3",0.932385861334769
"CD31",0.39532794752764
"CD4",0.313449937067527
"CD40",0.306152759771108
"CD45",0.202688880964199
"CD8",0.787049738059087
"HLA-DR",0.354795068785066
