"gene","train_test","tissue","Pearson","name"
"CD19","LymphNode1","Lymph Node",0.983327125085415,""
"CD19","LymphNode2","Lymph Node",0.984046763211602,""
"CD19","Spleen1","Spleen",0.983921074847934,""
"CD19","Spleen2","Spleen",0.984739273689573,""
"CD1d","LymphNode1","Lymph Node",0.728710540238126,""
"CD1d","LymphNode2","Lymph Node",0.730435429684485,""
"CD1d","Spleen1","Spleen",0.88262289429331,""
"CD1d","Spleen2","Spleen",0.881411813797281,""
"CD2","LymphNode1","Lymph Node",0.824867761068099,""
"CD2","LymphNode2","Lymph Node",0.849799630942142,""
"CD2","Spleen1","Spleen",0.936592201175047,""
"CD2","Spleen2","Spleen",0.933145674463817,""
"CD20","LymphNode1","Lymph Node",0.868798623218678,""
"CD20","LymphNode2","Lymph Node",0.862470709514557,""
"CD20","Spleen1","Spleen",0.907611835722641,""
"CD20","Spleen2","Spleen",0.916406900751171,""
"CD200","LymphNode1","Lymph Node",0.810927270760032,""
"CD200","LymphNode2","Lymph Node",0.819565206197174,""
"CD200","Spleen1","Spleen",0.823214540528623,""
"CD200","Spleen2","Spleen",0.821442665872561,""
"CD200R","LymphNode1","Lymph Node",0.477966967235154,""
"CD200R","LymphNode2","Lymph Node",0.464979353602336,""
"CD200R","Spleen1","Spleen",0.566924044107481,""
"CD200R","Spleen2","Spleen",0.540252166509179,""
"CD205","LymphNode1","Lymph Node",0.734699657988856,""
"CD205","LymphNode2","Lymph Node",0.732927305294111,""
"CD205","Spleen1","Spleen",0.712419763043396,""
"CD205","Spleen2","Spleen",0.68408291715332,""
"CD21-CD35","LymphNode1","Lymph Node",0.967697459551555,""
"CD21-CD35","LymphNode2","Lymph Node",0.972072414684024,""
"CD21-CD35","Spleen1","Spleen",0.972305828284949,""
"CD21-CD35","Spleen2","Spleen",0.971290557179466,""
"CD22","LymphNode1","Lymph Node",0.977200409014157,""
"CD22","LymphNode2","Lymph Node",0.977150596366493,""
"CD22","Spleen1","Spleen",0.97621500367254,""
"CD22","Spleen2","Spleen",0.975389131784051,""
"CD223","LymphNode1","Lymph Node",0.55787291657761,""
"CD223","LymphNode2","Lymph Node",0.552681962282477,""
"CD223","Spleen1","Spleen",0.66091575309258,""
"CD223","Spleen2","Spleen",0.632886698315986,""
"CD226","LymphNode1","Lymph Node",0.902434536635282,""
"CD226","LymphNode2","Lymph Node",0.896521759364484,""
"CD226","Spleen1","Spleen",0.903154911089395,""
"CD226","Spleen2","Spleen",0.906093641387076,""
"CD23","LymphNode1","Lymph Node",0.933229421575093,""
"CD23","LymphNode2","Lymph Node",0.935480720594083,""
"CD23","Spleen1","Spleen",0.931695354021087,""
"CD23","Spleen2","Spleen",0.937918332440445,""
"CD24","LymphNode1","Lymph Node",0.95779643358446,""
"CD24","LymphNode2","Lymph Node",0.959685802247316,""
"CD24","Spleen1","Spleen",0.957994115484312,""
"CD24","Spleen2","Spleen",0.95580090175174,""
"CD25","LymphNode1","Lymph Node",0.805765247082836,""
"CD25","LymphNode2","Lymph Node",0.812414680515861,""
"CD25","Spleen1","Spleen",0.771839477429013,""
"CD25","Spleen2","Spleen",0.754479789218913,""
"CD27","LymphNode1","Lymph Node",0.933774048813415,""
"CD27","LymphNode2","Lymph Node",0.939542613858127,""
"CD27","Spleen1","Spleen",0.957295025376688,""
"CD27","Spleen2","Spleen",0.954380787744061,""
"CD272","LymphNode1","Lymph Node",0.936119011144112,""
"CD272","LymphNode2","Lymph Node",0.935773041181881,""
"CD272","Spleen1","Spleen",0.93507299001764,""
"CD272","Spleen2","Spleen",0.927467263616921,""
"CD274","LymphNode1","Lymph Node",0.598199682186142,""
"CD274","LymphNode2","Lymph Node",0.608151972978836,""
"CD274","Spleen1","Spleen",0.780716981249656,""
"CD274","Spleen2","Spleen",0.750945524342331,""
"CD278","LymphNode1","Lymph Node",0.891313038410483,""
"CD278","LymphNode2","Lymph Node",0.875877767218491,""
"CD278","Spleen1","Spleen",0.819075439703745,""
"CD278","Spleen2","Spleen",0.819893689068858,""
"CD279","LymphNode1","Lymph Node",0.795366260151244,""
"CD279","LymphNode2","Lymph Node",0.787020617007834,""
"CD279","Spleen1","Spleen",0.723298275734345,""
"CD279","Spleen2","Spleen",0.707266833926979,""
"CD29","LymphNode1","Lymph Node",0.74924452992916,""
"CD29","LymphNode2","Lymph Node",0.754052876402591,""
"CD29","Spleen1","Spleen",0.903785504310722,""
"CD29","Spleen2","Spleen",0.894998263378593,""
"CD3","LymphNode1","Lymph Node",0.960356264962345,""
"CD3","LymphNode2","Lymph Node",0.961524774023117,""
"CD3","Spleen1","Spleen",0.956949683961077,""
"CD3","Spleen2","Spleen",0.959128184635472,""
"CD301b","LymphNode1","Lymph Node",0.718173855034228,""
"CD301b","LymphNode2","Lymph Node",0.738180060481209,""
"CD301b","Spleen1","Spleen",0.795369601541927,""
"CD301b","Spleen2","Spleen",0.797319855859232,""
"CD304","LymphNode1","Lymph Node",0.650427062405959,""
"CD304","LymphNode2","Lymph Node",0.633648349594648,""
"CD304","Spleen1","Spleen",0.817113495602039,""
"CD304","Spleen2","Spleen",0.792269085018329,""
