"gene","correlation"
"CD127",0.858341339416371
"CD14",0.96818246609415
"CD16",0.816788836374212
"CD19",0.969924571619497
"CD279",0.34028784950082
"CD3",0.923999681953844
"CD4",0.781262074136892
"CD45RA",0.813617923806485
"CD45RO",0.64234991957728
"CD56",0.859655678188355
"CD8",0.729080637807164
"TIGIT",0.639637950361054
